uq_problem_idx,num_steps,judge_probability,solved,generated_tokens
algebra_0,1,0.9971201419830322,1,15
algebra_0,2,0.9838029146194458,1,6
algebra_0,3,0.9684650301933287,1,8
algebra_0,4,0.9597633481025696,1,5
algebra_0,5,0.9465324878692628,1,11
algebra_0,6,0.9573495388031006,1,8
algebra_1,1,0.994890570640564,1,6
algebra_1,2,0.9961143732070924,1,11
algebra_1,3,0.9693937301635742,1,6
algebra_1,4,0.984224796295166,1,11
algebra_1,5,0.978768527507782,1,14
algebra_1,6,0.9895952343940736,1,7
algebra_2,1,0.9190225601196288,0,18
algebra_2,2,0.928215742111206,0,14
algebra_2,3,0.8948672413825989,0,10
algebra_2,4,0.8870767951011658,0,12
algebra_2,5,0.8389569520950317,0,17
algebra_2,6,0.8171083331108093,0,11
algebra_2,7,0.7200069427490234,0,11
algebra_2,8,0.658051073551178,0,10
algebra_2,9,0.7922722101211548,0,11
algebra_2,10,0.6779497861862183,0,11
algebra_3,1,0.9810861945152284,1,13
algebra_3,2,0.988836407661438,1,4
algebra_3,3,0.9251247048377992,1,4
algebra_3,4,0.847835898399353,1,4
algebra_3,5,0.7969294190406799,1,5
algebra_4,1,0.9979015588760376,1,10
algebra_4,2,0.9969103932380676,1,16
algebra_4,3,0.9980931878089904,1,9
algebra_4,4,0.9971303343772888,1,13
algebra_4,5,0.9924524426460266,1,12
algebra_4,6,0.9635352492332458,1,14
algebra_5,1,0.987146258354187,1,9
algebra_5,2,0.9948135614395142,1,16
algebra_5,3,0.9848596453666688,1,14
algebra_5,4,0.9906327724456788,1,13
algebra_5,5,0.9718143343925476,1,9
algebra_5,6,0.9454227089881896,1,7
algebra_5,7,0.9538677930831908,1,7
algebra_5,8,0.9732356667518616,1,5
algebra_6,1,0.7511250972747803,0,15
algebra_6,2,0.6787462830543518,0,13
algebra_6,3,0.695869505405426,0,19
algebra_6,4,0.7104835510253906,0,13
algebra_6,5,0.5313096046447754,0,14
algebra_7,1,0.9594382047653198,1,12
algebra_7,2,0.9568488597869872,1,16
algebra_7,3,0.9729037880897522,1,14
algebra_7,4,0.954830527305603,1,12
algebra_7,5,0.9452987909317015,1,14
algebra_7,6,0.8547073006629944,1,6
algebra_7,7,0.8583874106407166,1,10
algebra_7,8,0.8190575242042542,1,11
algebra_7,9,0.8439350724220276,1,8
algebra_8,1,0.7318550944328308,0,14
algebra_8,2,0.7356639504432678,0,12
algebra_8,3,0.6323936581611633,0,10
algebra_8,4,0.5529037117958069,0,15
algebra_8,5,0.621765673160553,0,7
algebra_8,6,0.4429104030132293,0,15
algebra_8,7,0.4772248864173889,0,6
algebra_8,8,0.449226051568985,0,5
algebra_9,1,0.950389564037323,1,17
algebra_9,2,0.9404746890068054,1,8
algebra_9,3,0.8994033336639404,1,6
algebra_9,4,0.8080358505249023,1,6
algebra_9,5,0.751867413520813,1,9
algebra_9,6,0.3579115271568298,1,7
algebra_10,1,0.9615263938903807,1,8
algebra_10,2,0.9251694083213806,1,5
algebra_10,3,0.940948247909546,1,5
algebra_10,4,0.9566746950149536,1,7
algebra_10,5,0.9099891781806946,1,9
algebra_10,6,0.9228622913360596,1,7
algebra_10,7,0.8037562370300293,1,15
algebra_10,8,0.8465576171875,1,10
algebra_10,9,0.8909108638763428,1,5
algebra_10,10,0.8725636601448059,1,6
algebra_11,1,0.9628455638885498,0,13
algebra_11,2,0.9581683874130248,0,6
algebra_11,3,0.8972097635269165,0,11
algebra_11,4,0.8666454553604126,0,10
algebra_11,5,0.8463833928108215,0,9
algebra_11,6,0.8552042841911316,0,8
algebra_11,7,0.7585697174072266,0,10
algebra_11,8,0.7213573455810547,0,9
algebra_11,9,0.7604655623435974,0,9
