,uq_problem_idx,generated_tokens,solved,judge_probability,num_steps
0,business_0,10,1,0.6787692308425903,1
1,business_0,8,1,0.5298711061477661,2
2,business_0,5,1,0.4547308385372162,3
3,business_0,6,1,0.4570458531379699,4
4,business_1,7,1,0.7626882195472717,1
5,business_1,12,1,0.7175174355506897,2
6,business_1,9,1,0.662373423576355,3
7,business_1,5,1,0.6374985575675964,4
8,business_1,5,1,0.5976386070251465,5
9,business_2,5,1,0.6332862377166748,1
10,business_2,6,1,0.6262639164924622,2
11,business_2,4,1,0.5659233927726746,3
12,business_2,6,1,0.5361706018447876,4
13,business_2,5,1,0.5099874138832092,5
14,business_3,16,0,0.5954787731170654,1
15,business_3,5,0,0.5305923223495483,2
16,business_3,6,0,0.5554192066192627,3
17,business_4,8,0,0.7269423604011536,1
18,business_4,9,0,0.7110877633094788,2
19,business_4,5,0,0.6819725632667542,3
20,business_4,10,0,0.6318760514259338,4
21,business_5,6,1,0.8395398259162903,1
22,business_5,9,1,0.7345849871635437,2
23,business_5,7,1,0.5871702432632446,3
24,business_5,9,1,0.5919374823570251,4
25,business_5,5,1,0.5602399706840515,5
26,business_6,9,1,0.8384819626808167,1
27,business_6,6,1,0.8027975559234619,2
28,business_6,5,1,0.735346257686615,3
29,business_6,6,1,0.6850591897964478,4
30,business_6,7,1,0.710279107093811,5
31,business_7,11,1,0.863123893737793,1
32,business_7,10,1,0.7089053988456726,2
33,business_7,8,1,0.7727612257003784,3
34,business_8,17,1,0.8731681704521179,1
35,business_8,6,1,0.7390374541282654,2
36,business_8,5,1,0.6203732490539551,3
37,business_8,9,1,0.819502592086792,4
38,business_9,5,0,0.7996507883071899,1
39,business_9,5,0,0.6819113492965698,2
40,business_9,5,0,0.6645599007606506,3
41,business_9,5,0,0.6134324073791504,4
42,business_9,5,0,0.6002524495124817,5
43,business_10,10,1,0.857649564743042,1
44,business_10,5,1,0.750905454158783,2
45,business_10,6,1,0.7493259310722351,3
46,business_10,4,1,0.7080876231193542,4
47,business_11,9,0,0.8013243675231934,1
48,business_11,6,0,0.6303098797798157,2
49,business_11,6,0,0.5308098793029785,3
50,business_11,7,0,0.5438135862350464,4
51,business_12,15,1,0.6557064056396484,1
52,business_12,14,1,0.6351720690727234,2
53,business_12,7,1,0.6589440703392029,3
54,business_12,5,1,0.5624210834503174,4
55,business_12,5,1,0.6028929352760315,5
56,business_13,6,0,0.8568008542060852,1
57,business_13,6,0,0.7512613534927368,2
58,business_13,5,0,0.651305079460144,3
59,business_13,6,0,0.6138204336166382,4
60,business_14,9,0,0.8102180361747742,1
61,business_14,9,0,0.5481647253036499,2
