uq_problem_idx,num_steps,judge_probability,solved
hotpotqa_0,1,0.4,True
hotpotqa_0,2,0.75,True
hotpotqa_1,1,0.5,True
hotpotqa_1,2,0.7,True
hotpotqa_1,3,0.85,True
hotpotqa_2,1,0.3,False
hotpotqa_2,2,0.6,False
hotpotqa_2,3,0.4,False
hotpotqa_2,4,0.4,False
hotpotqa_2,5,0.9,False
hotpotqa_3,1,0.4,False
hotpotqa_3,2,0.3,False
hotpotqa_3,3,0.2,False
hotpotqa_3,4,0.2,False
hotpotqa_3,5,0.3,False
hotpotqa_3,6,0.4,False
hotpotqa_3,7,0.6,False
hotpotqa_4,1,0.4,True
hotpotqa_4,2,0.7,True
hotpotqa_4,3,0.3,True
hotpotqa_4,4,0.85,True
hotpotqa_5,1,0.4,True
hotpotqa_5,2,0.7,True
hotpotqa_5,3,0.7,True
hotpotqa_5,4,0.6,True
hotpotqa_5,5,0.3,True
hotpotqa_5,6,0.4,True
hotpotqa_5,7,0.95,True
hotpotqa_6,1,0.3,False
hotpotqa_6,2,0.2,False
hotpotqa_6,3,0.2,False
hotpotqa_6,4,0.3,False
hotpotqa_6,5,0.2,False
hotpotqa_6,6,0.15,False
hotpotqa_6,7,0.3,False
hotpotqa_7,1,0.6,False
hotpotqa_7,2,0.75,False
hotpotqa_7,3,0.85,False
hotpotqa_7,4,0.75,False
hotpotqa_7,5,0.85,False
hotpotqa_7,6,0.85,False
hotpotqa_7,7,0.85,False
hotpotqa_8,1,0.6,True
hotpotqa_8,2,0.6,True
hotpotqa_8,3,0.7,True
hotpotqa_9,1,0.4,False
hotpotqa_9,2,0.7,False
hotpotqa_9,3,0.9,False
hotpotqa_10,1,0.4,False
hotpotqa_10,2,0.3,False
hotpotqa_10,3,0.65,False
hotpotqa_10,4,0.4,False
hotpotqa_10,5,0.4,False
hotpotqa_10,6,0.75,False
hotpotqa_11,1,0.3,False
hotpotqa_11,2,0.4,False
hotpotqa_11,3,0.3,False
hotpotqa_11,4,0.65,False
hotpotqa_11,5,0.75,False
hotpotqa_11,6,0.65,False
hotpotqa_11,7,0.65,False
hotpotqa_12,1,0.2,True
hotpotqa_12,2,0.6,True
hotpotqa_12,3,0.3,True
hotpotqa_12,4,0.3,True
hotpotqa_13,1,0.5,True
hotpotqa_13,2,0.4,True
hotpotqa_13,3,0.4,True
hotpotqa_13,4,0.9,True
hotpotqa_14,1,0.6,False
hotpotqa_14,2,0.4,False
hotpotqa_14,3,0.4,False
hotpotqa_14,4,0.4,False
hotpotqa_14,5,0.45,False
hotpotqa_14,6,0.6,False
hotpotqa_14,7,0.4,False
hotpotqa_15,1,0.55,False
hotpotqa_15,2,0.4,False
hotpotqa_15,3,0.65,False
hotpotqa_15,4,0.4,False
hotpotqa_15,5,0.7,False
hotpotqa_15,6,0.85,False
hotpotqa_15,7,0.8,False
hotpotqa_16,1,0.1,False
hotpotqa_16,2,0.1,False
hotpotqa_16,3,0.1,False
hotpotqa_16,4,0.3,False
hotpotqa_16,5,0.3,False
hotpotqa_16,6,0.2,False
hotpotqa_16,7,0.7,False
hotpotqa_17,1,0.4,False
hotpotqa_17,2,0.3,False
hotpotqa_17,3,0.4,False
hotpotqa_17,4,0.7,False
hotpotqa_17,5,0.7,False
hotpotqa_17,6,0.65,False
hotpotqa_17,7,0.8,False
hotpotqa_18,1,0.7,True
hotpotqa_18,2,0.85,True
